,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
123,123,21900120,1610612750,1610612744,15647.0,125,119,23,26,202027,1146,1628951,Minnesota Timberwolves,Golden State Warriors
124,124,21900118,1610612764,1610612739,16946.0,100,113,24,17,202049,201639,203592,Washington Wizards,Cleveland Cavaliers
125,125,21900121,1610612740,1610612761,16337.0,104,122,23,24,101283,1179,1627524,New Orleans Pelicans,Toronto Raptors
126,126,21900127,1610612759,1610612738,18354.0,115,135,22,25,2882,201246,1627962,San Antonio Spurs,Boston Celtics
127,127,21900129,1610612741,1610612745,20482.0,94,117,22,21,2715,1628951,201638,Chicago Bulls,Houston Rockets
128,128,21900128,1610612766,1610612740,18513.0,110,115,27,28,1193,2529,1628172,Charlotte Hornets,New Orleans Pelicans
129,129,21900130,1610612763,1610612742,15753.0,122,138,22,14,202056,202049,101284,Memphis Grizzlies,Dallas Mavericks
130,130,21900131,1610612760,1610612744,18203.0,114,108,17,18,1148,200832,201245,Oklahoma City Thunder,Golden State Warriors
131,131,21900134,1610612755,1610612766,20311.0,114,106,16,19,1830,201637,202037,Philadelphia 76ers,Charlotte Hornets
132,132,21900139,1610612747,1610612761,18997.0,104,113,20,17,202058,2534,1188,Los Angeles Lakers,Toronto Raptors
133,133,21900136,1610612752,1610612739,19812.0,87,108,26,19,202035,202027,201640,New York Knicks,Cleveland Cavaliers
134,134,21900137,1610612756,1610612751,17290.0,138,112,17,24,1155,1174,204058,Phoenix Suns,Brooklyn Nets
135,135,21900133,1610612753,1610612754,17118.0,102,109,10,13,1626300,2002,201639,Orlando Magic,Indiana Pacers
136,136,21900138,1610612757,1610612737,20041.0,124,113,22,26,2530,2005,1198,Portland Trail Blazers,Atlanta Hawks
137,137,21900132,1610612750,1610612743,13553.0,98,100,23,30,203591,202007,1179,Minnesota Timberwolves,Denver Nuggets
138,138,21900135,1610612760,1610612749,18203.0,119,121,20,21,1199,101283,1627961,Oklahoma City Thunder,Milwaukee Bucks
139,139,21900144,1610612744,1610612762,18064.0,108,122,24,16,2882,204058,1155,Golden State Warriors,Utah Jazz
140,140,21900143,1610612759,1610612763,18627.0,109,113,17,20,1193,202901,202041,San Antonio Spurs,Memphis Grizzlies
141,141,21900141,1610612738,1610612742,18624.0,116,106,27,26,1628954,2715,200834,Boston Celtics,Dallas Mavericks
142,142,21900145,1610612746,1610612761,19068.0,98,88,21,24,2005,204059,2530,Los Angeles Clippers,Toronto Raptors
143,143,21900140,1610612765,1610612750,12526.0,114,120,22,23,200833,2529,1626302,Detroit Pistons,Minnesota Timberwolves
144,144,21900142,1610612740,1610612745,16695.0,116,122,23,22,202056,201246,101284,New Orleans Pelicans,Houston Rockets
145,145,21900147,1610612755,1610612739,20294.0,98,97,20,13,1628159,2002,1151,Philadelphia 76ers,Cleveland Cavaliers
146,146,21900149,1610612741,1610612752,18668.0,120,102,25,28,202037,1148,1627524,Chicago Bulls,New York Knicks
147,147,21900151,1610612756,1610612747,18055.0,115,123,22,21,1198,203593,1162,Phoenix Suns,Los Angeles Lakers
148,148,21900148,1610612748,1610612765,19600.0,117,108,30,28,101283,202007,1627962,Miami Heat,Detroit Pistons
149,149,21900152,1610612762,1610612751,18306.0,119,114,18,29,204059,1627541,2714,Utah Jazz,Brooklyn Nets
150,150,21900146,1610612754,1610612760,15838.0,111,85,20,16,1627964,1626302,2004,Indiana Pacers,Oklahoma City Thunder
151,151,21900153,1610612758,1610612757,16358.0,107,99,25,19,1201,202026,201640,Sacramento Kings,Portland Trail Blazers
152,152,21900150,1610612743,1610612737,18327.0,121,125,24,21,202058,1188,2534,Denver Nuggets,Atlanta Hawks
153,153,21900159,1610612747,1610612744,18997.0,120,94,18,14,202026,2530,2005,Los Angeles Lakers,Golden State Warriors
