,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Off_Rating_Home,Off_Rating_Away
1037,0021901299,1610612755,1610612756,,117,130,20,18,1830,202007,1626302,128.6,139.8
1038,0021901298,1610612759,1610612745,,123,105,20,19,204058,2529,101284,107.9,92.1
1039,0021901297,1610612753,1610612751,,96,108,24,20,1148,1627962,201638,95.0,106.9
1040,0021901300,1610612742,1610612757,,131,134,23,31,201640,202049,201245,124.8,125.2
1041,0021901302,1610612758,1610612740,,112,106,22,18,1146,202027,202053,109.8,103.9
1042,0021901303,1610612764,1610612749,,113,126,23,26,202058,202037,101283,105.6,116.7
1043,0021901301,1610612763,1610612738,,107,122,15,27,2715,1626300,200832,110.3,127.1
1044,0021901305,1610612755,1610612761,,121,125,29,23,1193,2714,204059,115.2,119.0
1045,0021901304,1610612745,1610612754,,104,108,20,25,1151,2530,202026,95.4,99.1
1046,0021901307,1610612743,1610612746,,111,124,19,25,200834,2004,101284,114.4,127.8
1047,0021901306,1610612760,1610612748,,116,115,19,23,2148,2882,201246,116.0,113.9
1048,0021901310,1610612747,1610612758,,122,136,18,15,101283,1148,201638,115.1,128.3
1049,0021901313,1610612756,1610612742,,128,102,14,18,202053,2534,1662,132.0,106.3
1050,0021901309,1610612751,1610612757,,133,134,23,21,2715,204058,202037,127.9,128.8
1051,0021901308,1610612738,1610612764,,90,96,19,19,2003,2002,203592,90.9,97.0
1052,0021901312,1610612753,1610612740,,133,127,22,22,1201,202041,201639,130.4,125.7
1053,0021901314,1610612762,1610612759,,118,112,23,20,203591,1162,202027,116.8,112.0
1054,0021901311,1610612763,1610612749,,119,106,18,22,202049,1830,2005,108.2,96.4
1055,0021901317,1610612746,1610612760,,107,103,22,29,1193,2714,202007,94.7,89.6
1056,0021901315,1610612745,1610612755,,96,134,18,19,201640,2004,201246,93.2,128.8
1057,0021901316,1610612754,1610612748,,109,92,27,15,201245,204059,101284,107.9,91.1
1058,0021901318,1610612761,1610612743,,117,109,24,15,2529,200832,1146,117.0,109.0
